Place,Name Variant,Diocese,Institution,Office,Column_num,Reference
Thimoni(s)uilla,,,,,,Diedenhofen
Thurck,,,,,,Turck
Thuricen.,,,,,,Zürich
Tichern,,,,,,Tüchern
Tierstein,,,,,,Thierstein
Tietlingen,,,,,,Dietlingen
Tiner,,,,,,Tyner
Tolne,,,,,,Tholen
Tolosan.,,,,,,Toulouse
Tornacen.,,,,,,Tournay
Traiecten.,,,,,,"Maastricht, Utrecht"
Traysenmawr,,,,,,Traismauer
Trealli,,,,,,Tirol
"Trebere, Trebra",,,,,,Nieder-trebra
Tremonia,,,,,,Dortmund
Treveren.,,,,,,Trier
Tronstat,,,,,,Trunstadt
Tuicien.,,,,,,Deutz
Tumstorff,,,,,,Dunsdorf
Tullen.,,,,,,Toul
Tunauweschingen,,,,,,Donaueschingen
Tungental,,,,,,Thüngenthal
Turnten,,,,,,Dürnten
Turonen.,,,,,,Tour
Tusculan.,,,,,,Frascati
"Tysens, Tysana",,,,,,Tisens
Tzerstede,,,,,,Sarstedt
Tzeuana,,,,,,Zeven
Vezleuben,,,,,,Ützleben
Vfderambach,,,,,,Rambach
Vpdengrauen,,,,,,Bislich
Vrbs,,,,,,Rom
Vrs,,,,,,Irschen
Vtinen.,,,,,,Udine
Val di Non,,,,,,Nonsberg
Val di Sole,,,,,,Sulzberg
Val de Villè,,,,,,Weilerthal
Valkinreid,,,,,,Walkenried
Valleshausen,,,,,,Walleshausen
Vallessarnar.,,,,,,Vaux-de-cernay
Vallis Ananie,,,,,,Nonsberg
Vallisandelache,,,,,,Andlau
Vallis Claronen.,,,,,,Glarus
Valliscomitis,,,,,,Gräfenthal
Vallis Dei,,,,,,Gottesthal
Vallisleodri,,,,,,Valle di Ledro
Vallismasonis,,,,,,Masmünster
Vallissanctgeorgii,,,,,,Georgenthal
Vallissanctemarie,,,,,,Marienstern
"Vallisolis, Valsunna",,,,,,Sulzberg
Vanstorff,,,,,,Fonsdorf
Vapincen.,,,,,,Gap
Varemonasterium,,,,,,Fahr
Vauren.,,,,,,Lavour
Vekingen,,,,,,Vechingen
Velen,,,,,,Filehne
Vels,,,,,,Weutsch
Verchetin.,,,,,,Virchenzin
Vesprimen.,,,,,,Wesprim
Vesterzuborch,,,,,,West-zouburg
Veylstorff,,,,,,Veilsdorf
Vggeldorp,,,,,,Vogelsdorf
Vilhautte,,,,,,Ville-haute
"Villacapelle, Villakeppel",,,,,,Kappel
Viller,,,,,,Weiler
Vilmeringhen,,,,,,Vollmaringen
Virdunen.,,,,,,Verdun
Vischpachaw,,,,,,Fischbachau
Vischusen,,,,,,Fischhausen
Vislicien.,,,,,,Wislica
Vlechtorp,,,,,,Flechtdorf
Vlensborch,,,,,,Flensburg
Vochburg,,,,,,Vohburg
Voerhaut,,,,,,Voorhout
Vorheim,,,,,,Forchheim
Voring,,,,,,Föring
Vorne,,,,,,Voorne
Voyczperg,,,,,,Voitsberg
Vralinchusen,,,,,,Frehlinghausen
Vrannen,,,,,,Uri
Vritzlarien.,,,,,,Fritzlar
Vrunebec,,,,,,Grünberg
Vulfelbotel,,,,,,Wolfenbüttel
Vulterranen.,,,,,,Volterra
Vunstorp,,,,,,Wunstorf
Vyanen,,,,,,Vianen
Wahingen,,,,,,Wehingen
Wallacia,,,,,,Walchern
Walsse,,,,,,Waldsee
Waltbuht,,,,,,Waltfeucht
Walthilbersheim,,,,,,Waldhilbersheim
Walthusen,,,,,,Waldhausen
Waltsachsen,,,,,,Waldsassen
Warengeuilla,,,,,,Varangéville
Warmien.,,,,,,Ermland
"Wartberg, Wartemberg",,,,,,Warburg
Waydehouen,,,,,,Waidhofen
Weddingen,,,,,,Langen-weddingen
Wegklapruck,,,,,,Vöcklabruck
Weglastorf,,,,,,Pfaffing
Welmeldingen,,,,,,Wemeldingen
Wengen,,,,,,Ulm
Wenige Czaken,,,,,,(Kl.) Zacken
Werinuillerium,,,,,,Werschweiler
Wesalien.,,,,,,Oberwesel
Westmunster,,,,,,Middelburg
Weyden,,,,,,Neunkirchen
Weypstad,,,,,,Waibstadt
Weyr,,,,,,Weiarn
Wichtmunden,,,,,,Wittmund
Wickersheim,,,,,,Ill-wickersheim
Wigmerinchusen,,,,,,Wiemeringhausen
Wiir,,,,,,Wiry
Wileburg,,,,,,Weilburg
Wilrtal,,,,,,Weilerthal
Wilshofen,,,,,,Vilshofen
Wingarten.,,,,,,Weingarten
Wirtenberg,,,,,,Württemberg
Wischo,,,,,,Treptow
Wiselburg,,,,,,Wieselburg
Wisenpfelt,,,,,,Wiesenfeld
Wisenstaig,,,,,,Wiesensteig
Wiskow,,,,,,Treptow
Wissegaden.,,,,,,Wischedrad
Wissenhorn,,,,,,Weissenhorn
Withmunden,,,,,,Wittmund
Witzenheim,,,,,,Wintzenheim
Wladislauien.,,,,,,"Leslau, Loslau"
Wlfrastorf,,,,,,Wulfersdorf
Wlinghusen,,,,,,Wülﬁnghusen
Woghedeshagen,,,,,,Voigtshagen
Woldenbrucge,,,,,,Wallenbrück
Wolkenderode,,,,,,Volkerode
Wormpach,,,,,,Formbach
Worselden,,,,,,Wurselde
Woyborcz,,,,,,Wolborz
Wratislauien.,,,,,,Breslau
Wunghesesz,,,,,,Wonsees
Wunnaw,,,,,,Wynau
Wydenburg,,,,,,Wiedenbrück
Wyler,,,,,,Weiler
Wynheym,,,,,,Weinheim
Wynsem,,,,,,Winsen
Wyr,,,,,,Wiry
Wysenpfelt,,,,,,Wiesenfeld
Wyskirchen,,,,,,Weisskirchen
Wychtenaw,,,,,,Wittichenau
Ylergoye,,,,,,Illergau
Ymestat,,,,,,Immenstaad
Ymmenhusen,,,,,,Immenhusen
Yogkrim.,,,,,,Stolpe
Yponen.,,,,,,Hippo
Ysen,,,,,,Isen
Yselsteyn,,,,,,Isselstein
Ysenhem,,,,,,Isenheim
Ysontius,,,,,,Isonzo
Yuodien.,,,,,,Ivoix-carignan
Zabulum,,,,,,Brüssel
Zagrabien.,,,,,,Agram
Zallandia,,,,,,Seeland
Zarow,,,,,,Sarau
Zeflicen.,,,,,,Zyfflich
Zelandia,,,,,,Seeland
Zelente,,,,,,Selent
Zimbria,,,,,,Cembra
Zinnich,,,,,,Sinnich
Zitterden.,,,,,,Sittard
Zollae,,,,,,Mecheln
Zosserim,,,,,,Sossmar
Zusandmarein,,,,,,St. Marein
Zwarzach,,,,,,Schwarzach
Zwena,,,,,,Znin
Zwerin.,,,,,,Schwerin
Zwetzko,,,,,,Schwetz
Zynsich,,,,,,Sinzig
