Place,Name Variant,Diocese,Institution,Office,Column_num,Reference
Feuchtwangen,"Fewhewangen, Fewchwang, Fewhtwang, Fewhwacen.",August. dioc.,eccl. b. Marie,can.,"96, 109",
Feuchtwangen,"Fewhewangen, Fewchwang, Fewhtwang, Fewhwacen.",August. dioc.,eccl. b. Marie,capit.,150,
Feuchtwangen,"Fewhewangen, Fewchwang, Fewhtwang, Fewhwacen.",August. dioc.,eccl. b. Marie,vic.,150,
Feuchtwangen,"Fewhewangen, Fewchwang, Fewhtwang, Fewhwacen.",August. dioc.,par. eccl. s. Johannes,,205,
Fewstritz,,,,,,Feistritz
Filehne,Velen al. Lacus s. Marie,Poznan. dioc.,mon. Cist. ord.,,357,
Fischbachau,Vischpachaw,Frising. dioc.,mon. o. s. B.,,7,
Fischhausen,Vischusen,Sambien. dioc.,par. eccl. s. Nicolai,,358,
Fischlingen,,,,,,Klein-Fischlingen
Flandern,Flandria,Traiect. dioc.,,4 officia,291,
Flechtdorf,"Fleichtorp, Vlechtorp",Padeb. dioc.,mon. o. s. B.,monach.,"141, 206",
Flensburg,Vlensborch,Sleswic. dioc.,,civit.,337,
Fliess,Flies,Brixin. dioc.,par. eccl.,,126,
Floreffe,Floreffien.,Leod. dioc.,mon. Prem. ord.,abb.,77,
Florenz,Florentin.,,mon. s. Salvatoris de Septimo Cist. ord.,monach.,360,
Florenz,Florentin.,,studium,,6,
Florenz,Florentin.,,,miles,47,
Florenz,Florentin.,,,domic.,335,
Florenz,Florentin.,,,mercator,"49, 52, 61, 85, 163, 164, 209, 223, 268, 277, 348, 366",
Florenz,Florentin.,,,opid.,"53, 182, 209",
Florenz,Florentin.,,,civit.,"52, 171, 321",
St. Florian,de Sanctofloriano,Patav. dioc.,mon. s. Floriani,prepos.,17,
St. Florian,de Sanctofloriano,Patav. dioc.,mon. s. Floriani,can.,17,
St. Florian,de Sanctofloriano,Patav. dioc.,mon. s. Floriani,capit.,17,
St. Florian,de Sanctofloriano,Patav. dioc.,mon. s. Floriani,benef.,364,
Fonsdorf,Vanstorff,Salzb. dioc.,par. eccl.,,"201, 238",
Fonssalutis,,,,,,Heilsbronn
Forchheim,Vorheim,Bamberg. dioc.,eccl. s. Martini,can.,"39, 103, 274",
Föring,Voring,Salzb. dioc.,par. eccl. s. Marie,,260,
Formbach,Wormpach,Patav. dioc.,mon. o. s. B.,abb.,"329, 365",
Forstenwalde,,,,,,Fürstenwalde
Fosse,Fossen.,Leod. dioc.,eccl. s. Foilani,can.,154,
le Fousseret,Fosseretum,Ruien. dioc.,par. eccl.,,325,
Francia,,,,,,Frankreich
Frankenhausen,Franckenhusen,Magunt. dioc.,eccl. s. Jacobi,vic.,248,
Frankenstein,Frankenstein,Wratisl. dioc.,par. eccl.,,295,
Frankenuorde,,,,,,Frankfurt a. O
Frankfurt a. M,Fran(c)kford,Magunt. dioc.,eccl. s. Bartholomei,prepos.,"95, 273",
Frankfurt a. M,Fran(c)kford,Magunt. dioc.,eccl. s. Bartholomei,decan.,22,
Frankfurt a. M,Fran(c)kford,Magunt. dioc.,eccl. s. Bartholomei,scholast.,114,
Frankfurt a. M,Fran(c)kford,Magunt. dioc.,eccl. s. Bartholomei,can.,"75, 137",
Frankfurt a. M,Fran(c)kford,Magunt. dioc.,eccl. s. Bartholomei,capit.,273,
Frankfurt a. M,Fran(c)kford,Magunt. dioc.,eccl. s. Bartholomei,vic.,"211, 273, 274",
Frankfurt a. M,Fran(c)kford,Magunt. dioc.,eccl. s. Leonardi,capit.,203,
Frankfurt a. M,Fran(c)kford,Magunt. dioc.,eccl. b. Marie in Monte,decan.,"211, 273, 274",
Frankfurt a. M,Fran(c)kford,Magunt. dioc.,eccl. b. Marie in Monte,can.,"211, 274",
Frankfurt a. M,Fran(c)kford,Magunt. dioc.,eccl. b. Marie in Monte,capit.,"273, 274",
Frankfurt a. M,Fran(c)kford,Magunt. dioc.,eccl. bb. Marie et Georgii,decan.,203,
Frankfurt a. M,Fran(c)kford,Magunt. dioc.,eccl. bb. Marie et Georgii,can.,211,
Frankfurt a. M,Fran(c)kford,Magunt. dioc.,eccl. bb. Marie et Georgii,capit.,203,
Frankfurt a. M,Fran(c)kford,Magunt. dioc.,eccl. bb. Marie et Georgii,vic.,251,
Frankfurt a. M,Fran(c)kford,Magunt. dioc.,capel. s. Antonii,,327,
Frankfurt a. M,Fran(c)kford,Magunt. dioc.,mon. s. Catherine Nouiopidi,alt.,85,
Frankfurt a. M,Fran(c)kford,Magunt. dioc.,,civit.,"304, 337",
Frankfurt a. O,Frankenuorde,Lubuc. dioc.,eccl.,alt.,324,
Frankreich,Francia,,,rex,"28, 267",
Frankreich,Francia,,,regnum,"21, 61, 63, 114, 203, 325",
Frascati,Tusculan.,,,ep.,323,
Frasslau,"Fratzlauia, Frasslaw",Aquil. dioc.,par. eccl.,,"24, 25, 125",
Frauenaurach,Frauwenaurach,Herbi-pol. dioc.,mon. o. s. A.,capel. in eccl.,87,
Frauenchiemsee,Nunnenberd,Salz. dioc.,mon. o. s. B.,abbat. et conv.,293,
Frauenchiemsee,Nunnenberd,Salz. dioc.,mon. o. s. B.,alt. in eccl.,293,
Frehlinghausen,Vralinchusen,Hilsem. dioc.,mon.,prepos.,361,
Freiberg,Fribergh,Misn. dioc.,par. eccl.,,344,
Freiburg i. Br,"Friburgh, Friborg Fryburg, Friburgum",Const. dioc.,par. eccl.,,140,
Freiburg i. Br,"Friburgh, Friborg Fryburg, Friburgum",Const. dioc.,dom. fr. ord. Min.,,115,
Freiburg i. Br,"Friburgh, Friborg Fryburg, Friburgum",Const. dioc.,dom. fr. ord. Pred.,prior,310,
Freiburg i. Br,"Friburgh, Friborg Fryburg, Friburgum",Const. dioc.,dom. Montissanctiohannis bap. Carthus. ord.,,115,
Freiburg i. Br,"Friburgh, Friborg Fryburg, Friburgum",Const. dioc.,,civit.,"115, 389",
Freising,Frisingen.,,,ep. (el.),"7, 53, 59, 80, 112, 153, 170, 261, 267, 378",
Freising,Frisingen.,,eccl.,prepos.,214,
Freising,Frisingen.,,eccl.,decan.,"119, 223",
Freising,Frisingen.,,eccl.,can.,"15, 19, 121, 128, 184, 205, 207, 211, 213, 214, 228, 262, 298, 361, 376, 378, 388, 392",
Freising,Frisingen.,,eccl.,cap.,"7, 59, 170, 211",
Freising,Frisingen.,,eccl. s. Andree,prepos.,"152, 153, 205, 273",
Freising,Frisingen.,,eccl. s. Andree,can.,"15, 92, 152, 153, 389",
Freising,Frisingen.,,eccl. s. Johannis Montisfrisingen,prepos.,170,
Freising,Frisingen.,,eccl. s. Viti e. m.,prepos.,170,
Freising,Frisingen.,,capel. s. Benedicti,,261,
Freising,Frisingen.,,,presb.,"94, 106, 206, 209, 245, 262, 354, 375, 392",
Freising,Frisingen.,,,cler.,"123, 244, 261, 275, 316, 359",
Freising,Frisingen.,,,subcollect.,"153, 298, 378",
Freising,Frisingen.,,,domic.,42,
Freistadt,"ob d. Ens, Freynstät",Patav. dioc.,par. eccl. s. Jacobi in Nouoforo,,12,
Frequentin.,,,,,,Frigento
Frescha,,,,,,Friesland
Freynstät,,,,,,Freistadt
Fribergh,,,,,,Freiberg
"Friborch, Friburgh, Friburgum",,,,,,Freiburg i. Br
Friesach,Frisacen.,Salzb. dioc.,eccl. s. Bartholomei,prepos.,115,
Friesach,Frisacen.,Salzb. dioc.,eccl. s. Bartholomei,can.,"15, 152, 153, 388",
Friesenhofen,"Friesenhouen, Friesenhouen",Const. dioc.,par. eccl.,,"26, 181, 257",
Friesland,"Frisia, Frescha",,,terra,"145, 337",
Frigento,Frequentin.,,,ep.,178,
Frisacen.,,,,,,Friesach
Frisenhoven,,,,,,Friesenhofen
Frisia,,,,,,Friesland
Fritzlar,Vritzlarien.,Magunt. dioc.,eccl. s. Petri,prepos.,8,
Fritzlar,Vritzlarien.,Magunt. dioc.,eccl. s. Petri,decan.,268,
Fritzlar,Vritzlarien.,Magunt. dioc.,eccl. s. Petri,can,"143, 150, 221, 243, 254, 299",
Fritzlar,Vritzlarien.,Magunt. dioc.,eccl. s. Petri,capit.,"8, 268",
Fritzlar,Vritzlarien.,Magunt. dioc.,eccl. s. Petri,vic.,"141, 142, 150",
Fritzlar,Vritzlarien.,Magunt. dioc.,capel. s. Johannis,,"65, 68",
Frommershausen,Frommershusen,Magunt. dioc.,par. eccl.,,159,
Fryburg,,,,,,Freiburg i. Br
Fügenstall,Fugenstal,Eystet. dioc.,par. eccl.,,"78, 346",
Fulda,Herbipol. seu,Magunt. dioc.,mon. o. s. B.,abb. et conv.,"143, 150, 248",
Fulda,Herbipol. seu,Magunt. dioc.,mon. o. s. B.,capel. (vic.),169,
Fulgenstadt,Fulgenstat,Const. dioc.,par. eccl.,,193,
Fünfkirchen,Quinqueecclesien.,,eccl.,prepos.,"242, 251",
Fünfkirchen,Quinqueecclesien.,,,dioc.,115,
Fürholzen,Furholtz,Frising. dioc.,par. eccl.,,256,
Furnes,Furnen.,Morin. dioc.,eccl. s. Walburgis,can.,"117, 118",
Fürstenwalde,Forstenwalde,Lubic. dioc.,eccl.,vic.,195,
Gabene,,,,,,Gavnö
Gabsheim,Geispisheim,Magunt. dioc.,par. eccl.,,224,
Gadow,Gadaw,Misn. dioc.,par. eccl.,,"390, 397",
Gaesdonk,Gaesdunck prope Goch,Colon. dioc.,mon. o. s. A.,prior et conv.,297,
Gail,Gila,Aquil. dioc.,,villa,192,
St. Gallen,de Sanctogallo,Const. dioc.,eccl. s. Leonardi e. m.,,"168, 186",
St. Gallen,de Sanctogallo,Const. dioc.,par. eccl. s. Laurentii,,101,
St. Gallen,de Sanctogallo,Const. dioc.,mon. s. Galli o. s. B.,,"124, 140, 141",
St. Gallen,de Sanctogallo,Const. dioc.,mon. s. Galli o. s. B.,abb.,155,
St. Gallen,de Sanctogallo,Const. dioc.,mon. s. Galli o. s. B.,capel.,155,
St. Gallen,,Salzb. dioc.,hosp. s. Galli,,65,
Gallepaltental,,,,,,Paltental
Gamundien.,,,,,,Gmünd
Gand,? Ghan,Salzb. dioc.,par. eccl.,,14,
Gand,Ganden.,Tornac. dioc.,par. eccl. s. Johannis,,291,
Ganden.,,,,,,Gmünd
Gandersheim,Gandersem,Hildesem. dioc.,mon.,abbat. et conv.,196,
Gandersheim,Gandersem,Hildesem. dioc.,mon.,can. in eccl.,160,
Gap,Vapincen.,,,ep.,199,
Gap,Vapincen.,,eccl.,capit.,199,
Garda-See,lacus Garda,Trident. dioc.,,ius piscandi,124,
Gargnano,G. Rippie,Trident. dioc.,,civit.,124,
Gaspolthofen,"Gaspoltzhouen, Kas-paldshouen",Patav. dioc.,par. eccl.,,"90, 259",
Gassaw,,,,,,Gossau
Gatersleben,Gatirsleuben,Halberst. dioc.,,archidiacon.,274,
Gaudiacum,,,,,,Jouy sur Morin
Gavno,Gabene,Roskild. dioc.,mon. s. Agnetis in insula maris,,124,
Gawbatsch,,,,,,Krut
Gebesee,Gebese,Magunt. dioc.,eccl. s. Crucis,vic.,339,
Geervliet,Ghe[e]ruliet,Traiect. dioc.,eccl. b. Marie,dec. ac capit.,255,
Geervliet,Ghe[e]ruliet,Traiect. dioc.,eccl. b. Marie,can.,"255, 402",
Geich,Geych,Colon. dioc.,capel. s. Nicolai,,182,
Geiern,Geyrn,Eystet. dioc.,capel. s. Bartholomei in castro,,"124, 368",
Geisenfeld,Geysenueit,Ratisp. dioc.,par. eccl. s. Emmerami,,222,
Geisenfeld,Geysenueit,Ratisp. dioc.,mon. o. s. B.,abb. et conv.,222,
Geisenhausen,Geysenhawsen,Frising. dioc.,par. eccl.,,"93, 135",
Geismar,Gheismaer e. m. Gottinghen.,Magunt. dioc.,par. eccl.,,160,
Geispisheim,,,,,,Gabsheim
Geispolsheim,Gheyspolshem,Argent. dioc.,par. eccl.,,361,
Geistingen,Geystingen,Colon. dioc.,par. eccl.,,313,
Geldern,Gelria,,,dux,"106, 188, 235, 327",
Gengenbach,,Argent. dioc.,mon. o. s. B.,abb.,81,
Gensen,,,,,,Jeinsen
Genstall,,Ratisp. dioc.,par. eccl.,,388,
St. Georgen,Hartkilich,Const. dioc.,par. eccl.,,115,
Georgenthal,Vallissanctigeorgii al. Clarauallis,Magunt. dioc.,mon. Cist. ord.,,357,
Gerblingerode,Gerwelingherode,Magunt. dioc.,capel. s. Anne,,168,
Gerlachshausen,,Herbipol. dioc.,par. eccl.,,127,
Gernrode,Gherenrode,Halberst. dioc.,eccl.,abbat. et capit.,"225, 322, 343",
Gernrode,Gherenrode,Hildesem. dioc.,par. eccl.,,"100, 131",
Gerwelingherode,,,,,,Gerblingerode
Gerzen,Gertzen,Ratisp. dioc.,par. eccl.,,323,
Geseke,Ghes[c]ke,Colon. dioc.,eccl. s. Ciriaci,abbat. et conv.,385,
Geseke,Ghes[c]ke,Colon. dioc.,eccl. s. Ciriaci,can.,385,
Geseke,Ghes[c]ke,Colon. dioc.,eccl. s. Ciriaci,vic.,326,
Getz,,Poznan. dioc.,par. eccl.,,396,
Geul,Goele,Leod. dioc.,par. eccl.,,169,
Gewitsch,Gewiczka,Olomuc. dioc.,dom. ord. Herem. s. A.,,25,
Geych,,,,,,Geich
Geynsen,,,,,,Jeinsen
Geyrn,,,,,,Geiern
Geysmar,,,,,,Hofgeismar
Ghan,,,,,,Gand
Gheeruliet,,,,,,Geervliet
Gheismaer,,,,,,"Geismar, Hofgeismar"
Gherenrode,,,,,,Gernrode
Gheruliet,,,,,,Geervliet
Gheske,,,,,,Geseke
Gheueldehusen,,,,,,Gieboldehausen
Gheyspolshem,,,,,,Geispolshem
Ghisenkirchen,,,,,,Giesenkirchen
Ghrebukesrode,,,,,,Gräfenroda
Gieboldehausen,Gheueldehusen,Magunt. dioc.,par. eccl.,,195,
Giengen,,August. dioc.,par. eccl.,,75,
Giengen,,August. dioc.,dom. apud. cimeterium o. s. B.,,75,
Giengen,,August. dioc.,,civit.,167,
Giesenain,Gisenheim,Magunt. dioc.,par. eccl.,,285,
Giesenkirchen,Ghisenkirchen,Colon. dioc.,par. eccl.,,174,
Giessen-Oudkerk,Oudeghiessen,Traiect. dioc.,par. eccl.,,129,
Giethoorn,Giethorn,Traiect. dioc.,par. eccl.,,400,
Gila,,,,,,Gail
Gimingem,Gymunghen,Meten. dioc.,par. eccl.,,283,
Gisenheim,,,,,,Giesenain
Glan,,Magunt. dioc.,,archipresbyt.,108,
Glandières,Glanderien.,Meten. dioc.,mon. o. s. B.,abb.,"86, 87",
Glandières,Glanderien.,Meten. dioc.,mon. o. s. B.,custod.,87,
Glandières,Glanderien.,Meten. dioc.,mon. o. s. B.,monach.,"86, 87",
Glandières,Glanderien.,Meten. dioc.,mon. o. s. B.,conv.,86,
Glane,,Osnab. dioc.,par. eccl.,,104,
Glarus,Vallis Claronen.,Const. dioc.,,"incole, decime",361,
Gleichen,Glichen,Herbipol. dioc.,,castrum,158,
"Glogau, Gross-",Glogouia maior,Wratisl. dioc.,eccl. b. Marie,,271,
"Glogau, Gross-",Glogouia maior,Wratisl. dioc.,,prepos.,279,
"Glogau, Gross-",Glogouia maior,Wratisl. dioc.,,scholast.,82,
"Glogau, Gross-",Glogouia maior,Wratisl. dioc.,,can.,"8, 41, 127, 257, 290",
"Glogau, Gross-",Glogouia maior,Wratisl. dioc.,,capit.,279,
"Glogau, Ober-",Glogouia superior,Wratisl. dioc.,eccl. s. Bartholomei,vic.,14,
Glossenberg,,,,,,Neuenstadt
Gluschin,"Gluschinen., Glusernia",Poznan. dioc.,eccl. s. Jacobi,prepos.,249,
Gluschin,"Gluschinen., Glusernia",Poznan. dioc.,eccl. s. Jacobi,can.,45,
Gmünd,"Gamundien., Ganden.",August. dioc.,hosp. s. Spiritus.,,124,
Gmünd,"Gamundien., Ganden.",August. dioc.,,civit.,124,
Gnesen,"Gneznen., Gniznen.",,,aep.,"47, 133, 199, 222, 281, 289, 294, 339",
Gnesen,"Gneznen., Gniznen.",,,administrator,47,
Gnesen,"Gneznen., Gniznen.",,,mensa aepisc.,"199, 222",
Gnesen,"Gneznen., Gniznen.",,eccl.,prepos.,"46, 133, 243, 294, 308",
Gnesen,"Gneznen., Gniznen.",,eccl.,decan.,"52, 309",
Gnesen,"Gneznen., Gniznen.",,eccl.,cantor.,314,
Gnesen,"Gneznen., Gniznen.",,eccl.,dign.,"37, 49, 102, 289, 338",
Gnesen,"Gneznen., Gniznen.",,eccl.,can.,"5, 37, 43, 47, 49, 69, 101, 102, 103, 133, 198, 288, 289, 294, 308, 333, 338, 339",
Gnesen,"Gneznen., Gniznen.",,eccl.,capit.,"47, 199, 294, 339",
Gnesen,"Gneznen., Gniznen.",,eccl.,vic.,"45, 47, 101, 244, 338, 339",
Gnesen,"Gneznen., Gniznen.",,eccl.,alt.,"42, 47, 101, 294, 309, 339, 358",
Gnesen,"Gneznen., Gniznen.",,eccl. s. Georgii in castro,,42,
Gnesen,"Gneznen., Gniznen.",,par. eccl. Laurentii in suburbio,,101,
Gnesen,"Gneznen., Gniznen.",,mon. s. Johannis o. s. A. e. m.,prepos.,322,
Gnesen,"Gneznen., Gniznen.",,,presb.,"37, 232, 322, 396",
Gnesen,"Gneznen., Gniznen.",,,cler.,"79, 101, 183, 233, 243, 244, 289, 302, 303, 309, 311, 314, 339",
Gnesen,"Gneznen., Gniznen.",,,collector,"22, 51, 57, 261, 399",
Gnesen,"Gneznen., Gniznen.",,,dioc.,"98, 281",
Gnesen,"Gneznen., Gniznen.",,,armig.,101,
Gnesen,"Gneznen., Gniznen.",,,mil.,"186, 284, 294, 357",
Goch,,Colon. dioc.,,civit.,297,
Göda,Godow,Misn. dioc.,par. eccl.,,28,
Godesberg,Gudesberg,Colon. dioc.,capel. superior castri,,348,
Goele,,,,,,Geul
Goes,,Traiect. dioc.,par. eccl.,,"27, 343",
Goldberg,Goltberg,Wratisl. dioc.,par. eccl.,,364,
Gollhofen,Golnhouen,Herbipol. dioc.,par. eccl.,,218,
Gonobitz,"Gonobicz, Gonwitz",Aquil. dioc.,par. eccl. s. Georgii,,321,
Göritz,Goritz,Lubuc. dioc.,eccl. b. Marie,,134,
Görlitz,Gorlicz,Misn. dioc.,par. eccl. s. Nicolai e. m.,,134,
Görlitz,Gorlicz,Misn. dioc.,,civit.,134,
Görschen,Gorszen,Merseb. dioc.,par. eccl.,,274,
Görz,Goricia,,,comes,"19, 192, 210",
Gorze,"Gorzien., Gorsien.",Meten. dioc.,mon. o. s. B.,abb.,"158, 159, 196, 371",
Gorze,"Gorzien., Gorsien.",Meten. dioc.,mon. o. s. B.,monach.,"158, 159, 196",
Gorze,"Gorzien., Gorsien.",Meten. dioc.,mon. o. s. B.,conv.,"158, 159, 196",
Goslar,,Hildesem. dioc.,eccl. ss. Symonis et Jude,prepos.,172,
Goslar,,Hildesem. dioc.,eccl. ss. Symonis et Jude,decan.,150,
Goslar,,Hildesem. dioc.,eccl. ss. Symonis et Jude,can.,"133, 237, 349",
Goslar,,Hildesem. dioc.,eccl. ss. Symonis et Jude,capit.,172,
Gossau,Gassaw prope Gruenigen,Const. dioc.,par. eccl.,,331,
Gotha,Gothen.,Magunt. dioc.,eccl.,can.,"96, 150, 151",
Gottesthal,Vallis Dei,Basil. dioc.,mon. o. s. B.,,92,
Göttingen,Göttinghen,Magunt. dioc.,par. eccl. s. Johannes,,160,
Göttingen,Göttinghen,Magunt. dioc.,,civit.,160,
Göttweih,Chodwicum,Patav. dioc.,mon. o. s. B.,abb. et conv.,352,
Gourlis,?,,,dux,6,
Grabau,Grabaw,Gnezn. dioc.,par. eccl. Omniumsanctorum,,98,
Grabow,,Razeb. dioc.,capel. s. Spiritus,,172,
Graedwein,,,,,,Gratwein
Gräfenroda,? Ghrebukesrode,Magunt. dioc.,capel.,,198,
Gräfenthal,Vallis comitis,Colon. dioc.,mon. Cist. ord.,abb. et conv.,232,
Grafentraubach,,,,,,Traubach
Grammastetten,Gremthartsteten,Patav. dioc.,par. eccl.,,352,
Gras,Grassa,Magunt. dioc.,capel.,,163,
Grath,Grate prope Loss,Leod. dioc.,par. eccl. bb. Marie et Johannis,,"169, 177",
Gratianopolis,,,,,,Grenoble
Gratwein,Graedwein,Salzb. dioc.,par. eccl.,,339,
Grebming,Grebmik,Salzb. dioc.,par. eccl.,,352,
Greiffenstein,"Grifenstein, Greyffenst.",Wratisl. dioc.,,castrum,281,
Greifswald,Gripeswoldis,Camin. dioc.,par. eccl. s. Marie 85. (par.) eccl. s. Nicolai,,85,
Greifswald,Gripeswoldis,Camin. dioc.,,prepos.,137,
Gremthartsteten,,,,,,Grammastetten
Grenoble,Gratianopol.,,,dioc.,212,
Grenzsen,,,,,,Grzendzin
Greussen,"Marcgruczen, Grussen., Gruszen.",Magunt. dioc.,,cap. b. Marie e. m.,"16, 175, 187",
Grevesmühlen,Greuesmolen,Razeb. dioc.,par. eccl.,,312,
Gries,,Salzb. dioc.,par. eccl.,,17,
"Gries, St. Maria in Au","prope Bolzam, Awgia",Trident. dioc.,par. eccl.,,"59, 170",
"Gries, St. Maria in Au","prope Bolzam, Awgia",Trident. dioc.,mon. o. s. A.,,"59, 138",
"Gries, St. Maria in Au","prope Bolzam, Awgia",Trident. dioc.,mon. o. s. A.,prepos.,"77, 138",
"Gries, St. Maria in Au","prope Bolzam, Awgia",Trident. dioc.,,castrum apud villam,59,
Grieskirchen,,Patav. dioc.,par. eccl.,,88,
Grifenstein,,,,,,Greiffenstein
Gripeswoldis,,,,,,Greifswald
Grissaw,,,,,,Grüssau
Groden,Gruden.,Bremen. dioc.,par. eccl.,,216,
Grodzisko,,Poznan. dioc.,par. eccl.,,351,
Groenlo,"Gronlo, Gronllo",Monast. dioc.,par. eccl.,,"132, 198",
Groenlo,"Gronlo, Gronllo",Monast. dioc.,,opid.,106,
Groningen,Groninghen,Traiect. dioc.,par. eccl. s. Martini,,"149, 393",
Gross-Alsleben,Magnaalsleuen,Halberst. dioc.,par. eccl.,,89,
Gross-Behringen,Maiorberingen,Magunt. dioc.,par. eccl. s. Petri,,387,
(Gross-) Enzersdorf,Maior Enczesdorff,Patav. dioc.,par. eccl.,,229,
Gross-Erich,Erich,Magunt. dioc.,par. eccl.,,99,
Gross-Königsdorf,Congestorp,Colon. dioc.,mon.,,80,
Gross-Königsdorf,Congestorp,Colon. dioc.,,villa,80,
Gross-Mohnau,Magnamana,Wratisl. dioc.,par. eccl. s. Andree,,270,
Grossenmohnra,Maiormanre,Magunt. dioc.,par. eccl.,,344,
Gross-Salze,Magnasalina,Magdeb. dioc.,capel. castri,,175,
Gruden,,,,,,Groden
Grünberg,Vrunebec,Magunt. dioc.,,preceptor. s. Antonii,355,
Grüningen,Grueningen,Const. dioc.,,villa,331,
Grünhofen,? Grunshouen,Frising. dioc.,par. eccl.,,"20, 238",
Grüssau,Grissaw,Wratisl. dioc.,mon. Cist. ord.,abb.,281,
"Grussen., Gruszen.",,,,,,Greussen
Grzegorzew,"Grzegorzewo, Gyegoizewo",Gnezn. dioc.,par. eccl.,,"338, 339",
Grzendzin,Grenzen,Wratisl. dioc.,par. eccl.,,401,
Guben,Gubinen.,Misn. dioc.,capel. s. Spiritus e. m.,,48,
Gudesberg,,,,,,Godesberg
Gugenheim,,,,,,Jugenheim
Gülzow,Gulczow,Camin. dioc.,,castrum,9,
Guntering,? Guntmaringen,August. dioc.,par. eccl.,,216,
Güntzburg,Guntzburg,August. dioc.,par. eccl. s. Martini,,392,
Günz,"Guncz, Guntz",August. dioc.,par. eccl.,,"84, 298",
Gurk,Gurcen.,,,ep. (el.),"80, 112",
Gurkfeld,Gurguelt,Aquil. dioc.,par. eccl. b. Marie Virg.,,170,
Güsten,Gusten.,Colon. dioc.,par. eccl.,,336,
Güstrow,Gustrowen.,Camin. dioc.,eccl.,prepos.,329,
Güstrow,Gustrowen.,Camin. dioc.,eccl.,can.,"91, 145",
Güstrow,Gustrowen.,Camin. dioc.,par. eccl.,,172,
Güstrow,Gustrow,Zwerin. dioc.,par. eccl.,,235,
Güstrow,Gustrowe,,dominus terre,,"60, 192",
Güttingen,Guttingen,Const. dioc.,par. eccl.,,331,
Guttstadt,Gutenstat,Warmien. dioc.,eccl. s. Saluatoris et Omniumsanctorum,can.,166,
Gyegoizewo,,,,,,Grzegorzewo
Gymunghen,,,,,,Gimingen
Haag,Hag,Frising. dioc.,,baron.,125,
Haag,Hagha,Traiect. dioc.,par. eccl. s. Jacobi,,139,
Haag,Hagha,Traiect. dioc.,,fraternitas b. Marie Virg.,139,
Hadeln,"Hadelene, Haderia",Bremen. dioc.,,archidiacon.,"82, 95",
Hadmansdorff,Hadmansdorff,Herbi-pol. dioc.,par. eccl.,,"78, 311, 346",
Haenau,,,,,,Hanau
Haesbeen,,,,,,Heesbeen
Hag,,,,,,Haag
Hagen,,Traiect. dioc.,ecc. (capel.) b. Marie,decan.,"62, 373",
Hagen,,Traiect. dioc.,ecc. (capel.) b. Marie,can.,131,
Hagen,,Traiect. dioc.,ecc. (capel.) b. Marie,capit.,"62, 373",
Hagenau,Haghenow,Argent. dioc.,mon. antiquum Prem. ord.,,139,
Hagenau,Haghenow,Argent. dioc.,,opid.,139,
Hagestein,Haghensteyn,Traiect. dioc.,eccl.,alt.,"43, 44",
Hagha,,,,,,Haag
Haibach,Haybach,Ratisp. dioc.,par. eccl. s. Laurentii,,93,
Haidelfing,Haydolffing,Ratisp. dioc.,par. eccl.,,161,
Haimertingen,,,,,,Heimertingen
Haina,Hayna,Misn. dioc.,mon. s. Marie Magdalene o. s. A.,prepos.,211,
Haindorf,Haindorff,Patav. dioc.,par. eccl.,,260,
Halberstadt,Halberstaden.,,,ep. (el.),"39, 139, 204, 227, 269, 271",
Halberstadt,Halberstaden.,,eccl.,prepos.,"39, 120, 349, 387",
Halberstadt,Halberstaden.,,eccl.,decan.,21,
Halberstadt,Halberstaden.,,eccl.,scholast.,147,
Halberstadt,Halberstaden.,,eccl.,portenarius,295,
Halberstadt,Halberstaden.,,eccl.,dign.,"18, 105",
Halberstadt,Halberstaden.,,eccl.,can.,"18, 72, 105, 120, 130, 147, 193, 204, 274, 295, 387",
Halberstadt,Halberstaden.,,eccl.,capit.,"39, 139, 227, 269",
Halberstadt,Halberstaden.,,eccl.,vic.,"160, 197, 198, 226, 269, 395",
Halberstadt,Halberstaden.,,eccl. s. Bonifacii,prepos.,5,
Halberstadt,Halberstaden.,,eccl. s. Bonifacii,can.,"89, 225",
Halberstadt,Halberstaden.,,eccl. s. Bonifacii,vic.,89,
Halberstadt,Halberstaden.,,eccl. b. Marie,prepos.,227,
Halberstadt,Halberstaden.,,eccl. b. Marie,can.,"72, 217",
Halberstadt,Halberstaden.,,eccl. b. Marie,capit.,227,
Halberstadt,Halberstaden.,,eccl. b. Marie,vic.,"154, 395",
Halberstadt,Halberstaden.,,eccl. s. Pauli,can.,160,
Halberstadt,Halberstaden.,,,presb.,276,
Halberstadt,Halberstaden.,,,cler.,"197, 198, 226, 227, 343",
Halberstadt,Halberstaden.,,,domic.,322,
Hadelene,,,,,,Hadeln
Halicz,Halicien.,,,el.,"37, 281, 289",
Halicz,Halicien.,,,dioc.,310,
Halle,Hallen.,Magdeb. dioc.,eccl. Nouioperis e. m.,prepos.,139,
Halle,Hallen.,Magdeb. dioc.,capel. s. Crucis in viridario,,140,
Halle,Hallen.,Magdeb. dioc.,,archidiacon.,139,
Halle,Hallen.,Magdeb. dioc.,,comes salinarii,138,
Halle,Hallen.,Magdeb. dioc.,,civit.,138,
Halle i. Br,,Minden. dioc.,par. eccl.,,148,
Halle,,,,,,Schwäbisch-Hall
Hallein,Salina,Salzb. dioc.,par. eccl. s. Antonii,,238,
Hallermund,Halremunt,Hildesem. dioc.,capel. b. Marie in castro,,264,
